name	status	time_compilation	time_tool	time_end2end	nb_node_expanded	command
p03	success	  0.743117	  0.002574	  1.066675	11	/home/marcofavorito/workfolder/planning-with-past-code/bin/fond4ltlfpltlf_wrapper -t fd -d results/blocksworld1a-2021-12-13T13:08:33.445275/domain.pddl -p results/blocksworld1a-2021-12-13T13:08:33.445275/p03.pddl -g O(on_b1_b2 & Y(O(on_b2_b3))) --working-dir results/blocksworld1a-2021-12-13T13:08:33.445275/f4lp-fd-ff/p03 --algorithm astar --heuristic ff
p04	success	  0.682989	  0.002705	  0.978980	11	/home/marcofavorito/workfolder/planning-with-past-code/bin/fond4ltlfpltlf_wrapper -t fd -d results/blocksworld1a-2021-12-13T13:08:33.445275/domain.pddl -p results/blocksworld1a-2021-12-13T13:08:33.445275/p04.pddl -g O(on_b1_b2 & Y(O(on_b2_b3))) --working-dir results/blocksworld1a-2021-12-13T13:08:33.445275/f4lp-fd-ff/p04 --algorithm astar --heuristic ff
p05	success	  0.674726	  0.003136	  0.981183	11	/home/marcofavorito/workfolder/planning-with-past-code/bin/fond4ltlfpltlf_wrapper -t fd -d results/blocksworld1a-2021-12-13T13:08:33.445275/domain.pddl -p results/blocksworld1a-2021-12-13T13:08:33.445275/p05.pddl -g O(on_b1_b2 & Y(O(on_b2_b3))) --working-dir results/blocksworld1a-2021-12-13T13:08:33.445275/f4lp-fd-ff/p05 --algorithm astar --heuristic ff
p06	success	  0.684897	  0.003218	  0.993983	11	/home/marcofavorito/workfolder/planning-with-past-code/bin/fond4ltlfpltlf_wrapper -t fd -d results/blocksworld1a-2021-12-13T13:08:33.445275/domain.pddl -p results/blocksworld1a-2021-12-13T13:08:33.445275/p06.pddl -g O(on_b1_b2 & Y(O(on_b2_b3))) --working-dir results/blocksworld1a-2021-12-13T13:08:33.445275/f4lp-fd-ff/p06 --algorithm astar --heuristic ff
p07	success	  0.695110	  0.003743	  1.009396	11	/home/marcofavorito/workfolder/planning-with-past-code/bin/fond4ltlfpltlf_wrapper -t fd -d results/blocksworld1a-2021-12-13T13:08:33.445275/domain.pddl -p results/blocksworld1a-2021-12-13T13:08:33.445275/p07.pddl -g O(on_b1_b2 & Y(O(on_b2_b3))) --working-dir results/blocksworld1a-2021-12-13T13:08:33.445275/f4lp-fd-ff/p07 --algorithm astar --heuristic ff
p08	success	  0.696909	  0.005982	  1.028065	11	/home/marcofavorito/workfolder/planning-with-past-code/bin/fond4ltlfpltlf_wrapper -t fd -d results/blocksworld1a-2021-12-13T13:08:33.445275/domain.pddl -p results/blocksworld1a-2021-12-13T13:08:33.445275/p08.pddl -g O(on_b1_b2 & Y(O(on_b2_b3))) --working-dir results/blocksworld1a-2021-12-13T13:08:33.445275/f4lp-fd-ff/p08 --algorithm astar --heuristic ff
p09	success	  0.693624	  0.004916	  1.033230	11	/home/marcofavorito/workfolder/planning-with-past-code/bin/fond4ltlfpltlf_wrapper -t fd -d results/blocksworld1a-2021-12-13T13:08:33.445275/domain.pddl -p results/blocksworld1a-2021-12-13T13:08:33.445275/p09.pddl -g O(on_b1_b2 & Y(O(on_b2_b3))) --working-dir results/blocksworld1a-2021-12-13T13:08:33.445275/f4lp-fd-ff/p09 --algorithm astar --heuristic ff
p10	success	  0.690325	  0.005389	  1.037371	11	/home/marcofavorito/workfolder/planning-with-past-code/bin/fond4ltlfpltlf_wrapper -t fd -d results/blocksworld1a-2021-12-13T13:08:33.445275/domain.pddl -p results/blocksworld1a-2021-12-13T13:08:33.445275/p10.pddl -g O(on_b1_b2 & Y(O(on_b2_b3))) --working-dir results/blocksworld1a-2021-12-13T13:08:33.445275/f4lp-fd-ff/p10 --algorithm astar --heuristic ff
p11	success	  0.694092	  0.006117	  1.051049	11	/home/marcofavorito/workfolder/planning-with-past-code/bin/fond4ltlfpltlf_wrapper -t fd -d results/blocksworld1a-2021-12-13T13:08:33.445275/domain.pddl -p results/blocksworld1a-2021-12-13T13:08:33.445275/p11.pddl -g O(on_b1_b2 & Y(O(on_b2_b3))) --working-dir results/blocksworld1a-2021-12-13T13:08:33.445275/f4lp-fd-ff/p11 --algorithm astar --heuristic ff
p12	success	  0.691968	  0.006696	  1.059524	11	/home/marcofavorito/workfolder/planning-with-past-code/bin/fond4ltlfpltlf_wrapper -t fd -d results/blocksworld1a-2021-12-13T13:08:33.445275/domain.pddl -p results/blocksworld1a-2021-12-13T13:08:33.445275/p12.pddl -g O(on_b1_b2 & Y(O(on_b2_b3))) --working-dir results/blocksworld1a-2021-12-13T13:08:33.445275/f4lp-fd-ff/p12 --algorithm astar --heuristic ff
