name	status	time_compilation	time_tool	time_end2end	nb_node_expanded	command
p03	success	  0.585402	  0.002575	  0.860770	13	/home/marcofavorito/workfolder/planning-with-past-code/bin/plan4past -t fd --domain results/blocksworld1a-2021-12-13T13:08:33.445275/domain.pddl --problem results/blocksworld1a-2021-12-13T13:08:33.445275/p03.pddl --formula O(on_b1_b2 & Y(O(on_b2_b3))) --working-dir results/blocksworld1a-2021-12-13T13:08:33.445275/p4p-fd-ff/p03 --algorithm astar --heuristic ff
p04	success	  0.595212	  0.002857	  0.882287	14	/home/marcofavorito/workfolder/planning-with-past-code/bin/plan4past -t fd --domain results/blocksworld1a-2021-12-13T13:08:33.445275/domain.pddl --problem results/blocksworld1a-2021-12-13T13:08:33.445275/p04.pddl --formula O(on_b1_b2 & Y(O(on_b2_b3))) --working-dir results/blocksworld1a-2021-12-13T13:08:33.445275/p4p-fd-ff/p04 --algorithm astar --heuristic ff
p05	success	  0.594468	  0.004156	  0.884189	15	/home/marcofavorito/workfolder/planning-with-past-code/bin/plan4past -t fd --domain results/blocksworld1a-2021-12-13T13:08:33.445275/domain.pddl --problem results/blocksworld1a-2021-12-13T13:08:33.445275/p05.pddl --formula O(on_b1_b2 & Y(O(on_b2_b3))) --working-dir results/blocksworld1a-2021-12-13T13:08:33.445275/p4p-fd-ff/p05 --algorithm astar --heuristic ff
p06	success	  0.588050	  0.003480	  0.881569	16	/home/marcofavorito/workfolder/planning-with-past-code/bin/plan4past -t fd --domain results/blocksworld1a-2021-12-13T13:08:33.445275/domain.pddl --problem results/blocksworld1a-2021-12-13T13:08:33.445275/p06.pddl --formula O(on_b1_b2 & Y(O(on_b2_b3))) --working-dir results/blocksworld1a-2021-12-13T13:08:33.445275/p4p-fd-ff/p06 --algorithm astar --heuristic ff
p07	success	  0.572344	  0.004593	  0.859592	17	/home/marcofavorito/workfolder/planning-with-past-code/bin/plan4past -t fd --domain results/blocksworld1a-2021-12-13T13:08:33.445275/domain.pddl --problem results/blocksworld1a-2021-12-13T13:08:33.445275/p07.pddl --formula O(on_b1_b2 & Y(O(on_b2_b3))) --working-dir results/blocksworld1a-2021-12-13T13:08:33.445275/p4p-fd-ff/p07 --algorithm astar --heuristic ff
p08	success	  0.585280	  0.004370	  0.894597	18	/home/marcofavorito/workfolder/planning-with-past-code/bin/plan4past -t fd --domain results/blocksworld1a-2021-12-13T13:08:33.445275/domain.pddl --problem results/blocksworld1a-2021-12-13T13:08:33.445275/p08.pddl --formula O(on_b1_b2 & Y(O(on_b2_b3))) --working-dir results/blocksworld1a-2021-12-13T13:08:33.445275/p4p-fd-ff/p08 --algorithm astar --heuristic ff
p09	success	  0.585911	  0.004991	  0.968663	19	/home/marcofavorito/workfolder/planning-with-past-code/bin/plan4past -t fd --domain results/blocksworld1a-2021-12-13T13:08:33.445275/domain.pddl --problem results/blocksworld1a-2021-12-13T13:08:33.445275/p09.pddl --formula O(on_b1_b2 & Y(O(on_b2_b3))) --working-dir results/blocksworld1a-2021-12-13T13:08:33.445275/p4p-fd-ff/p09 --algorithm astar --heuristic ff
p10	success	  0.596446	  0.005413	  0.923928	20	/home/marcofavorito/workfolder/planning-with-past-code/bin/plan4past -t fd --domain results/blocksworld1a-2021-12-13T13:08:33.445275/domain.pddl --problem results/blocksworld1a-2021-12-13T13:08:33.445275/p10.pddl --formula O(on_b1_b2 & Y(O(on_b2_b3))) --working-dir results/blocksworld1a-2021-12-13T13:08:33.445275/p4p-fd-ff/p10 --algorithm astar --heuristic ff
p11	success	  0.582551	  0.006449	  0.930926	21	/home/marcofavorito/workfolder/planning-with-past-code/bin/plan4past -t fd --domain results/blocksworld1a-2021-12-13T13:08:33.445275/domain.pddl --problem results/blocksworld1a-2021-12-13T13:08:33.445275/p11.pddl --formula O(on_b1_b2 & Y(O(on_b2_b3))) --working-dir results/blocksworld1a-2021-12-13T13:08:33.445275/p4p-fd-ff/p11 --algorithm astar --heuristic ff
p12	success	  0.589423	  0.007239	  0.950545	22	/home/marcofavorito/workfolder/planning-with-past-code/bin/plan4past -t fd --domain results/blocksworld1a-2021-12-13T13:08:33.445275/domain.pddl --problem results/blocksworld1a-2021-12-13T13:08:33.445275/p12.pddl --formula O(on_b1_b2 & Y(O(on_b2_b3))) --working-dir results/blocksworld1a-2021-12-13T13:08:33.445275/p4p-fd-ff/p12 --algorithm astar --heuristic ff
