name	status	time_compilation	time_tool	time_end2end	nb_node_expanded	command
p03	success	  0.435661	  0.297028	  0.732689	21	/home/marcofavorito/workfolder/planning-with-past-code/bin/fond4ltlfpltlf_wrapper -t mynd -d results/blocksworld1a-2021-12-12T21:46:57.657819/domain.pddl -p results/blocksworld1a-2021-12-12T21:46:57.657819/p03.pddl -g O(on_b1_b2 & Y(O(on_b2_b3))) --working-dir results/blocksworld1a-2021-12-12T21:46:57.657819/f4lp-mynd-sc-ff/p03 --algorithm laostar --heuristic ff
p04	success	  0.436710	  0.354567	  0.791277	38	/home/marcofavorito/workfolder/planning-with-past-code/bin/fond4ltlfpltlf_wrapper -t mynd -d results/blocksworld1a-2021-12-12T21:46:57.657819/domain.pddl -p results/blocksworld1a-2021-12-12T21:46:57.657819/p04.pddl -g O(on_b1_b2 & Y(O(on_b2_b3))) --working-dir results/blocksworld1a-2021-12-12T21:46:57.657819/f4lp-mynd-sc-ff/p04 --algorithm laostar --heuristic ff
p05	success	  0.443974	  0.376981	  0.820955	23	/home/marcofavorito/workfolder/planning-with-past-code/bin/fond4ltlfpltlf_wrapper -t mynd -d results/blocksworld1a-2021-12-12T21:46:57.657819/domain.pddl -p results/blocksworld1a-2021-12-12T21:46:57.657819/p05.pddl -g O(on_b1_b2 & Y(O(on_b2_b3))) --working-dir results/blocksworld1a-2021-12-12T21:46:57.657819/f4lp-mynd-sc-ff/p05 --algorithm laostar --heuristic ff
p06	success	  0.435753	  0.422217	  0.857970	21	/home/marcofavorito/workfolder/planning-with-past-code/bin/fond4ltlfpltlf_wrapper -t mynd -d results/blocksworld1a-2021-12-12T21:46:57.657819/domain.pddl -p results/blocksworld1a-2021-12-12T21:46:57.657819/p06.pddl -g O(on_b1_b2 & Y(O(on_b2_b3))) --working-dir results/blocksworld1a-2021-12-12T21:46:57.657819/f4lp-mynd-sc-ff/p06 --algorithm laostar --heuristic ff
p07	success	  0.436467	  0.771543	  1.208010	62	/home/marcofavorito/workfolder/planning-with-past-code/bin/fond4ltlfpltlf_wrapper -t mynd -d results/blocksworld1a-2021-12-12T21:46:57.657819/domain.pddl -p results/blocksworld1a-2021-12-12T21:46:57.657819/p07.pddl -g O(on_b1_b2 & Y(O(on_b2_b3))) --working-dir results/blocksworld1a-2021-12-12T21:46:57.657819/f4lp-mynd-sc-ff/p07 --algorithm laostar --heuristic ff
p08	success	  0.447927	  0.669831	  1.117758	55	/home/marcofavorito/workfolder/planning-with-past-code/bin/fond4ltlfpltlf_wrapper -t mynd -d results/blocksworld1a-2021-12-12T21:46:57.657819/domain.pddl -p results/blocksworld1a-2021-12-12T21:46:57.657819/p08.pddl -g O(on_b1_b2 & Y(O(on_b2_b3))) --working-dir results/blocksworld1a-2021-12-12T21:46:57.657819/f4lp-mynd-sc-ff/p08 --algorithm laostar --heuristic ff
p09	success	  0.431191	  0.725769	  1.156960	27	/home/marcofavorito/workfolder/planning-with-past-code/bin/fond4ltlfpltlf_wrapper -t mynd -d results/blocksworld1a-2021-12-12T21:46:57.657819/domain.pddl -p results/blocksworld1a-2021-12-12T21:46:57.657819/p09.pddl -g O(on_b1_b2 & Y(O(on_b2_b3))) --working-dir results/blocksworld1a-2021-12-12T21:46:57.657819/f4lp-mynd-sc-ff/p09 --algorithm laostar --heuristic ff
p10	success	  0.518173	  1.027103	  1.545276	23	/home/marcofavorito/workfolder/planning-with-past-code/bin/fond4ltlfpltlf_wrapper -t mynd -d results/blocksworld1a-2021-12-12T21:46:57.657819/domain.pddl -p results/blocksworld1a-2021-12-12T21:46:57.657819/p10.pddl -g O(on_b1_b2 & Y(O(on_b2_b3))) --working-dir results/blocksworld1a-2021-12-12T21:46:57.657819/f4lp-mynd-sc-ff/p10 --algorithm laostar --heuristic ff
p11	success	  0.466937	  1.164605	  1.631542	25	/home/marcofavorito/workfolder/planning-with-past-code/bin/fond4ltlfpltlf_wrapper -t mynd -d results/blocksworld1a-2021-12-12T21:46:57.657819/domain.pddl -p results/blocksworld1a-2021-12-12T21:46:57.657819/p11.pddl -g O(on_b1_b2 & Y(O(on_b2_b3))) --working-dir results/blocksworld1a-2021-12-12T21:46:57.657819/f4lp-mynd-sc-ff/p11 --algorithm laostar --heuristic ff
p12	success	  0.459772	  1.578621	  2.038393	57	/home/marcofavorito/workfolder/planning-with-past-code/bin/fond4ltlfpltlf_wrapper -t mynd -d results/blocksworld1a-2021-12-12T21:46:57.657819/domain.pddl -p results/blocksworld1a-2021-12-12T21:46:57.657819/p12.pddl -g O(on_b1_b2 & Y(O(on_b2_b3))) --working-dir results/blocksworld1a-2021-12-12T21:46:57.657819/f4lp-mynd-sc-ff/p12 --algorithm laostar --heuristic ff
p13	success	  0.461334	  2.240509	  2.701843	93	/home/marcofavorito/workfolder/planning-with-past-code/bin/fond4ltlfpltlf_wrapper -t mynd -d results/blocksworld1a-2021-12-12T21:46:57.657819/domain.pddl -p results/blocksworld1a-2021-12-12T21:46:57.657819/p13.pddl -g O(on_b1_b2 & Y(O(on_b2_b3))) --working-dir results/blocksworld1a-2021-12-12T21:46:57.657819/f4lp-mynd-sc-ff/p13 --algorithm laostar --heuristic ff
p14	success	  0.457245	  4.036977	  4.494222	179	/home/marcofavorito/workfolder/planning-with-past-code/bin/fond4ltlfpltlf_wrapper -t mynd -d results/blocksworld1a-2021-12-12T21:46:57.657819/domain.pddl -p results/blocksworld1a-2021-12-12T21:46:57.657819/p14.pddl -g O(on_b1_b2 & Y(O(on_b2_b3))) --working-dir results/blocksworld1a-2021-12-12T21:46:57.657819/f4lp-mynd-sc-ff/p14 --algorithm laostar --heuristic ff
p15	success	  0.437146	  2.594492	  3.031638	39	/home/marcofavorito/workfolder/planning-with-past-code/bin/fond4ltlfpltlf_wrapper -t mynd -d results/blocksworld1a-2021-12-12T21:46:57.657819/domain.pddl -p results/blocksworld1a-2021-12-12T21:46:57.657819/p15.pddl -g O(on_b1_b2 & Y(O(on_b2_b3))) --working-dir results/blocksworld1a-2021-12-12T21:46:57.657819/f4lp-mynd-sc-ff/p15 --algorithm laostar --heuristic ff
