name	status	time_compilation	time_tool	time_end2end	nb_node_expanded	command
p03	success	  0.105527	 10.068013	 10.173540	74	/home/marcofavorito/workfolder/planning-with-past-code/bin/ltlfond2fond_wrapper -t mynd -d results/blocksworld1a-2021-12-12T21:46:57.657819/domain.pddl -p results/blocksworld1a-2021-12-12T21:46:57.657819/p03.pddl -g F("on b2 b3"&X(F("on b1 b2"))) --working-dir results/blocksworld1a-2021-12-12T21:46:57.657819/lf2f-mynd-sc-ff/p03 --algorithm laostar --heuristic ff
p04	success	  0.075998	 26.960597	 27.036595	62	/home/marcofavorito/workfolder/planning-with-past-code/bin/ltlfond2fond_wrapper -t mynd -d results/blocksworld1a-2021-12-12T21:46:57.657819/domain.pddl -p results/blocksworld1a-2021-12-12T21:46:57.657819/p04.pddl -g F("on b2 b3"&X(F("on b1 b2"))) --working-dir results/blocksworld1a-2021-12-12T21:46:57.657819/lf2f-mynd-sc-ff/p04 --algorithm laostar --heuristic ff
p05	timeout	 -1.000000	 -1.000000	 60.004397	None	/home/marcofavorito/workfolder/planning-with-past-code/bin/ltlfond2fond_wrapper -t mynd -d results/blocksworld1a-2021-12-12T21:46:57.657819/domain.pddl -p results/blocksworld1a-2021-12-12T21:46:57.657819/p05.pddl -g F("on b2 b3"&X(F("on b1 b2"))) --working-dir results/blocksworld1a-2021-12-12T21:46:57.657819/lf2f-mynd-sc-ff/p05 --algorithm laostar --heuristic ff
p06	timeout	 -1.000000	 -1.000000	 60.003356	None	/home/marcofavorito/workfolder/planning-with-past-code/bin/ltlfond2fond_wrapper -t mynd -d results/blocksworld1a-2021-12-12T21:46:57.657819/domain.pddl -p results/blocksworld1a-2021-12-12T21:46:57.657819/p06.pddl -g F("on b2 b3"&X(F("on b1 b2"))) --working-dir results/blocksworld1a-2021-12-12T21:46:57.657819/lf2f-mynd-sc-ff/p06 --algorithm laostar --heuristic ff
p07	timeout	 -1.000000	 -1.000000	 60.005537	None	/home/marcofavorito/workfolder/planning-with-past-code/bin/ltlfond2fond_wrapper -t mynd -d results/blocksworld1a-2021-12-12T21:46:57.657819/domain.pddl -p results/blocksworld1a-2021-12-12T21:46:57.657819/p07.pddl -g F("on b2 b3"&X(F("on b1 b2"))) --working-dir results/blocksworld1a-2021-12-12T21:46:57.657819/lf2f-mynd-sc-ff/p07 --algorithm laostar --heuristic ff
p08	timeout	 -1.000000	 -1.000000	 60.003964	None	/home/marcofavorito/workfolder/planning-with-past-code/bin/ltlfond2fond_wrapper -t mynd -d results/blocksworld1a-2021-12-12T21:46:57.657819/domain.pddl -p results/blocksworld1a-2021-12-12T21:46:57.657819/p08.pddl -g F("on b2 b3"&X(F("on b1 b2"))) --working-dir results/blocksworld1a-2021-12-12T21:46:57.657819/lf2f-mynd-sc-ff/p08 --algorithm laostar --heuristic ff
p09	timeout	 -1.000000	 -1.000000	 60.003655	None	/home/marcofavorito/workfolder/planning-with-past-code/bin/ltlfond2fond_wrapper -t mynd -d results/blocksworld1a-2021-12-12T21:46:57.657819/domain.pddl -p results/blocksworld1a-2021-12-12T21:46:57.657819/p09.pddl -g F("on b2 b3"&X(F("on b1 b2"))) --working-dir results/blocksworld1a-2021-12-12T21:46:57.657819/lf2f-mynd-sc-ff/p09 --algorithm laostar --heuristic ff
p10	timeout	 -1.000000	 -1.000000	 60.004186	None	/home/marcofavorito/workfolder/planning-with-past-code/bin/ltlfond2fond_wrapper -t mynd -d results/blocksworld1a-2021-12-12T21:46:57.657819/domain.pddl -p results/blocksworld1a-2021-12-12T21:46:57.657819/p10.pddl -g F("on b2 b3"&X(F("on b1 b2"))) --working-dir results/blocksworld1a-2021-12-12T21:46:57.657819/lf2f-mynd-sc-ff/p10 --algorithm laostar --heuristic ff
p11	timeout	 -1.000000	 -1.000000	 60.003233	None	/home/marcofavorito/workfolder/planning-with-past-code/bin/ltlfond2fond_wrapper -t mynd -d results/blocksworld1a-2021-12-12T21:46:57.657819/domain.pddl -p results/blocksworld1a-2021-12-12T21:46:57.657819/p11.pddl -g F("on b2 b3"&X(F("on b1 b2"))) --working-dir results/blocksworld1a-2021-12-12T21:46:57.657819/lf2f-mynd-sc-ff/p11 --algorithm laostar --heuristic ff
p12	timeout	 -1.000000	 -1.000000	 60.003673	None	/home/marcofavorito/workfolder/planning-with-past-code/bin/ltlfond2fond_wrapper -t mynd -d results/blocksworld1a-2021-12-12T21:46:57.657819/domain.pddl -p results/blocksworld1a-2021-12-12T21:46:57.657819/p12.pddl -g F("on b2 b3"&X(F("on b1 b2"))) --working-dir results/blocksworld1a-2021-12-12T21:46:57.657819/lf2f-mynd-sc-ff/p12 --algorithm laostar --heuristic ff
