name	status	time_compilation	time_tool	time_end2end	nb_node_expanded	command
p03	success	  0.361940	  0.366312	  0.728252	21	/home/marcofavorito/workfolder/planning-with-past-code/bin/plan4past --domain results/blocksworld1a-2021-12-12T21:46:57.657819/domain.pddl --problem results/blocksworld1a-2021-12-12T21:46:57.657819/p03.pddl --formula O(on_b1_b2 & Y(O(on_b2_b3))) --working-dir results/blocksworld1a-2021-12-12T21:46:57.657819/p4p-mynd-sc-ff/p03 --algorithm laostar --heuristic ff
p04	success	  0.348942	  0.335585	  0.684527	38	/home/marcofavorito/workfolder/planning-with-past-code/bin/plan4past --domain results/blocksworld1a-2021-12-12T21:46:57.657819/domain.pddl --problem results/blocksworld1a-2021-12-12T21:46:57.657819/p04.pddl --formula O(on_b1_b2 & Y(O(on_b2_b3))) --working-dir results/blocksworld1a-2021-12-12T21:46:57.657819/p4p-mynd-sc-ff/p04 --algorithm laostar --heuristic ff
p05	success	  0.348122	  0.371262	  0.719384	46	/home/marcofavorito/workfolder/planning-with-past-code/bin/plan4past --domain results/blocksworld1a-2021-12-12T21:46:57.657819/domain.pddl --problem results/blocksworld1a-2021-12-12T21:46:57.657819/p05.pddl --formula O(on_b1_b2 & Y(O(on_b2_b3))) --working-dir results/blocksworld1a-2021-12-12T21:46:57.657819/p4p-mynd-sc-ff/p05 --algorithm laostar --heuristic ff
p06	success	  0.350947	  0.429541	  0.780488	21	/home/marcofavorito/workfolder/planning-with-past-code/bin/plan4past --domain results/blocksworld1a-2021-12-12T21:46:57.657819/domain.pddl --problem results/blocksworld1a-2021-12-12T21:46:57.657819/p06.pddl --formula O(on_b1_b2 & Y(O(on_b2_b3))) --working-dir results/blocksworld1a-2021-12-12T21:46:57.657819/p4p-mynd-sc-ff/p06 --algorithm laostar --heuristic ff
p07	success	  0.356283	  0.669815	  1.026098	62	/home/marcofavorito/workfolder/planning-with-past-code/bin/plan4past --domain results/blocksworld1a-2021-12-12T21:46:57.657819/domain.pddl --problem results/blocksworld1a-2021-12-12T21:46:57.657819/p07.pddl --formula O(on_b1_b2 & Y(O(on_b2_b3))) --working-dir results/blocksworld1a-2021-12-12T21:46:57.657819/p4p-mynd-sc-ff/p07 --algorithm laostar --heuristic ff
p08	success	  0.356519	  0.652133	  1.008652	70	/home/marcofavorito/workfolder/planning-with-past-code/bin/plan4past --domain results/blocksworld1a-2021-12-12T21:46:57.657819/domain.pddl --problem results/blocksworld1a-2021-12-12T21:46:57.657819/p08.pddl --formula O(on_b1_b2 & Y(O(on_b2_b3))) --working-dir results/blocksworld1a-2021-12-12T21:46:57.657819/p4p-mynd-sc-ff/p08 --algorithm laostar --heuristic ff
p09	success	  0.351355	  0.827706	  1.179061	82	/home/marcofavorito/workfolder/planning-with-past-code/bin/plan4past --domain results/blocksworld1a-2021-12-12T21:46:57.657819/domain.pddl --problem results/blocksworld1a-2021-12-12T21:46:57.657819/p09.pddl --formula O(on_b1_b2 & Y(O(on_b2_b3))) --working-dir results/blocksworld1a-2021-12-12T21:46:57.657819/p4p-mynd-sc-ff/p09 --algorithm laostar --heuristic ff
p10	success	  0.354641	  1.585775	  1.940416	113	/home/marcofavorito/workfolder/planning-with-past-code/bin/plan4past --domain results/blocksworld1a-2021-12-12T21:46:57.657819/domain.pddl --problem results/blocksworld1a-2021-12-12T21:46:57.657819/p10.pddl --formula O(on_b1_b2 & Y(O(on_b2_b3))) --working-dir results/blocksworld1a-2021-12-12T21:46:57.657819/p4p-mynd-sc-ff/p10 --algorithm laostar --heuristic ff
p11	success	  0.367388	  1.216101	  1.583489	25	/home/marcofavorito/workfolder/planning-with-past-code/bin/plan4past --domain results/blocksworld1a-2021-12-12T21:46:57.657819/domain.pddl --problem results/blocksworld1a-2021-12-12T21:46:57.657819/p11.pddl --formula O(on_b1_b2 & Y(O(on_b2_b3))) --working-dir results/blocksworld1a-2021-12-12T21:46:57.657819/p4p-mynd-sc-ff/p11 --algorithm laostar --heuristic ff
p12	success	  0.375734	  1.871250	  2.246984	115	/home/marcofavorito/workfolder/planning-with-past-code/bin/plan4past --domain results/blocksworld1a-2021-12-12T21:46:57.657819/domain.pddl --problem results/blocksworld1a-2021-12-12T21:46:57.657819/p12.pddl --formula O(on_b1_b2 & Y(O(on_b2_b3))) --working-dir results/blocksworld1a-2021-12-12T21:46:57.657819/p4p-mynd-sc-ff/p12 --algorithm laostar --heuristic ff
