name	status	time_compilation	time_tool	time_end2end	nb_node_expanded	command
p02	success	  0.699460	  0.002583	  1.010484	5	/home/marcofavorito/workfolder/planning-with-past-code/bin/fond4ltlfpltlf_wrapper -t fd -d results/experiment-1-2021-12-13T15:54:29.210127/domain.pddl -p results/experiment-1-2021-12-13T15:54:29.210127/p02.pddl -g O(on_b1_b2) --working-dir results/experiment-1-2021-12-13T15:54:29.210127/f4lp-fd-ff/p02 --algorithm astar --heuristic ff
p03	success	  0.728280	  0.002710	  1.020337	11	/home/marcofavorito/workfolder/planning-with-past-code/bin/fond4ltlfpltlf_wrapper -t fd -d results/experiment-1-2021-12-13T15:54:29.210127/domain.pddl -p results/experiment-1-2021-12-13T15:54:29.210127/p03.pddl -g O(on_b1_b2 & Y(O(on_b2_b3))) --working-dir results/experiment-1-2021-12-13T15:54:29.210127/f4lp-fd-ff/p03 --algorithm astar --heuristic ff
p04	success	  0.731785	  0.002969	  1.075220	23	/home/marcofavorito/workfolder/planning-with-past-code/bin/fond4ltlfpltlf_wrapper -t fd -d results/experiment-1-2021-12-13T15:54:29.210127/domain.pddl -p results/experiment-1-2021-12-13T15:54:29.210127/p04.pddl -g O(on_b1_b2 & Y(O(on_b2_b3 & Y(O(on_b3_b4))))) --working-dir results/experiment-1-2021-12-13T15:54:29.210127/f4lp-fd-ff/p04 --algorithm astar --heuristic ff
p05	success	  0.726825	  0.003811	  1.218399	57	/home/marcofavorito/workfolder/planning-with-past-code/bin/fond4ltlfpltlf_wrapper -t fd -d results/experiment-1-2021-12-13T15:54:29.210127/domain.pddl -p results/experiment-1-2021-12-13T15:54:29.210127/p05.pddl -g O(on_b1_b2 & Y(O(on_b2_b3 & Y(O(on_b3_b4 & Y(O(on_b4_b5))))))) --working-dir results/experiment-1-2021-12-13T15:54:29.210127/f4lp-fd-ff/p05 --algorithm astar --heuristic ff
p06	success	  0.734544	  0.006494	  1.537416	158	/home/marcofavorito/workfolder/planning-with-past-code/bin/fond4ltlfpltlf_wrapper -t fd -d results/experiment-1-2021-12-13T15:54:29.210127/domain.pddl -p results/experiment-1-2021-12-13T15:54:29.210127/p06.pddl -g O(on_b1_b2 & Y(O(on_b2_b3 & Y(O(on_b3_b4 & Y(O(on_b4_b5 & Y(O(on_b5_b6))))))))) --working-dir results/experiment-1-2021-12-13T15:54:29.210127/f4lp-fd-ff/p06 --algorithm astar --heuristic ff
p07	success	  0.736283	  0.016733	  2.742526	584	/home/marcofavorito/workfolder/planning-with-past-code/bin/fond4ltlfpltlf_wrapper -t fd -d results/experiment-1-2021-12-13T15:54:29.210127/domain.pddl -p results/experiment-1-2021-12-13T15:54:29.210127/p07.pddl -g O(on_b1_b2 & Y(O(on_b2_b3 & Y(O(on_b3_b4 & Y(O(on_b4_b5 & Y(O(on_b5_b6 & Y(O(on_b6_b7))))))))))) --working-dir results/experiment-1-2021-12-13T15:54:29.210127/f4lp-fd-ff/p07 --algorithm astar --heuristic ff
p08	success	  0.709528	  0.047730	  5.662134	1671	/home/marcofavorito/workfolder/planning-with-past-code/bin/fond4ltlfpltlf_wrapper -t fd -d results/experiment-1-2021-12-13T15:54:29.210127/domain.pddl -p results/experiment-1-2021-12-13T15:54:29.210127/p08.pddl -g O(on_b1_b2 & Y(O(on_b2_b3 & Y(O(on_b3_b4 & Y(O(on_b4_b5 & Y(O(on_b5_b6 & Y(O(on_b6_b7 & Y(O(on_b7_b8))))))))))))) --working-dir results/experiment-1-2021-12-13T15:54:29.210127/f4lp-fd-ff/p08 --algorithm astar --heuristic ff
p09	success	  0.692606	  0.177675	 13.285012	5346	/home/marcofavorito/workfolder/planning-with-past-code/bin/fond4ltlfpltlf_wrapper -t fd -d results/experiment-1-2021-12-13T15:54:29.210127/domain.pddl -p results/experiment-1-2021-12-13T15:54:29.210127/p09.pddl -g O(on_b1_b2 & Y(O(on_b2_b3 & Y(O(on_b3_b4 & Y(O(on_b4_b5 & Y(O(on_b5_b6 & Y(O(on_b6_b7 & Y(O(on_b7_b8 & Y(O(on_b8_b9))))))))))))))) --working-dir results/experiment-1-2021-12-13T15:54:29.210127/f4lp-fd-ff/p09 --algorithm astar --heuristic ff
p10	success	  0.711517	  0.850701	 42.463155	19221	/home/marcofavorito/workfolder/planning-with-past-code/bin/fond4ltlfpltlf_wrapper -t fd -d results/experiment-1-2021-12-13T15:54:29.210127/domain.pddl -p results/experiment-1-2021-12-13T15:54:29.210127/p10.pddl -g O(on_b1_b2 & Y(O(on_b2_b3 & Y(O(on_b3_b4 & Y(O(on_b4_b5 & Y(O(on_b5_b6 & Y(O(on_b6_b7 & Y(O(on_b7_b8 & Y(O(on_b8_b9 & Y(O(on_b9_b10))))))))))))))))) --working-dir results/experiment-1-2021-12-13T15:54:29.210127/f4lp-fd-ff/p10 --algorithm astar --heuristic ff
p11	success	  0.705549	  4.491370	 91.740893	91531	/home/marcofavorito/workfolder/planning-with-past-code/bin/fond4ltlfpltlf_wrapper -t fd -d results/experiment-1-2021-12-13T15:54:29.210127/domain.pddl -p results/experiment-1-2021-12-13T15:54:29.210127/p11.pddl -g O(on_b1_b2 & Y(O(on_b2_b3 & Y(O(on_b3_b4 & Y(O(on_b4_b5 & Y(O(on_b5_b6 & Y(O(on_b6_b7 & Y(O(on_b7_b8 & Y(O(on_b8_b9 & Y(O(on_b9_b10 & Y(O(on_b10_b11))))))))))))))))))) --working-dir results/experiment-1-2021-12-13T15:54:29.210127/f4lp-fd-ff/p11 --algorithm astar --heuristic ff
