name	status	time_compilation	time_tool	time_end2end	nb_node_expanded	command
p02	success	  0.171011	  0.001268	  0.377944	5	/home/marcofavorito/workfolder/planning-with-past-code/bin/ltlfond2fond_wrapper -t fd -d results/experiment-1-2021-12-13T16:06:04.643119/domain.pddl -p results/experiment-1-2021-12-13T16:06:04.643119/p02.pddl -g F("on b1 b2") --working-dir results/experiment-1-2021-12-13T16:06:04.643119/lf2f-fd-ff/p02 --algorithm astar --heuristic ff
p03	success	  0.072096	  0.001559	  0.286547	10	/home/marcofavorito/workfolder/planning-with-past-code/bin/ltlfond2fond_wrapper -t fd -d results/experiment-1-2021-12-13T16:06:04.643119/domain.pddl -p results/experiment-1-2021-12-13T16:06:04.643119/p03.pddl -g F("on b2 b3"&X(F("on b1 b2"))) --working-dir results/experiment-1-2021-12-13T16:06:04.643119/lf2f-fd-ff/p03 --algorithm astar --heuristic ff
p04	success	  0.070773	  0.002384	  0.373048	15	/home/marcofavorito/workfolder/planning-with-past-code/bin/ltlfond2fond_wrapper -t fd -d results/experiment-1-2021-12-13T16:06:04.643119/domain.pddl -p results/experiment-1-2021-12-13T16:06:04.643119/p04.pddl -g F("on b3 b4"&X(F("on b2 b3"&X(F("on b1 b2"))))) --working-dir results/experiment-1-2021-12-13T16:06:04.643119/lf2f-fd-ff/p04 --algorithm astar --heuristic ff
p05	success	  0.072746	  0.004535	  0.570561	24	/home/marcofavorito/workfolder/planning-with-past-code/bin/ltlfond2fond_wrapper -t fd -d results/experiment-1-2021-12-13T16:06:04.643119/domain.pddl -p results/experiment-1-2021-12-13T16:06:04.643119/p05.pddl -g F("on b4 b5"&X(F("on b3 b4"&X(F("on b2 b3"&X(F("on b1 b2"))))))) --working-dir results/experiment-1-2021-12-13T16:06:04.643119/lf2f-fd-ff/p05 --algorithm astar --heuristic ff
p06	success	  0.092148	  0.010556	  0.970345	34	/home/marcofavorito/workfolder/planning-with-past-code/bin/ltlfond2fond_wrapper -t fd -d results/experiment-1-2021-12-13T16:06:04.643119/domain.pddl -p results/experiment-1-2021-12-13T16:06:04.643119/p06.pddl -g F("on b5 b6"&X(F("on b4 b5"&X(F("on b3 b4"&X(F("on b2 b3"&X(F("on b1 b2"))))))))) --working-dir results/experiment-1-2021-12-13T16:06:04.643119/lf2f-fd-ff/p06 --algorithm astar --heuristic ff
p07	success	  0.107477	  0.026624	  2.007593	46	/home/marcofavorito/workfolder/planning-with-past-code/bin/ltlfond2fond_wrapper -t fd -d results/experiment-1-2021-12-13T16:06:04.643119/domain.pddl -p results/experiment-1-2021-12-13T16:06:04.643119/p07.pddl -g F("on b6 b7"&X(F("on b5 b6"&X(F("on b4 b5"&X(F("on b3 b4"&X(F("on b2 b3"&X(F("on b1 b2"))))))))))) --working-dir results/experiment-1-2021-12-13T16:06:04.643119/lf2f-fd-ff/p07 --algorithm astar --heuristic ff
p08	success	  0.205324	  0.044140	  3.435388	60	/home/marcofavorito/workfolder/planning-with-past-code/bin/ltlfond2fond_wrapper -t fd -d results/experiment-1-2021-12-13T16:06:04.643119/domain.pddl -p results/experiment-1-2021-12-13T16:06:04.643119/p08.pddl -g F("on b7 b8"&X(F("on b6 b7"&X(F("on b5 b6"&X(F("on b4 b5"&X(F("on b3 b4"&X(F("on b2 b3"&X(F("on b1 b2"))))))))))))) --working-dir results/experiment-1-2021-12-13T16:06:04.643119/lf2f-fd-ff/p08 --algorithm astar --heuristic ff
p09	success	  0.093484	  0.090505	  5.462848	76	/home/marcofavorito/workfolder/planning-with-past-code/bin/ltlfond2fond_wrapper -t fd -d results/experiment-1-2021-12-13T16:06:04.643119/domain.pddl -p results/experiment-1-2021-12-13T16:06:04.643119/p09.pddl -g F("on b8 b9"&X(F("on b7 b8"&X(F("on b6 b7"&X(F("on b5 b6"&X(F("on b4 b5"&X(F("on b3 b4"&X(F("on b2 b3"&X(F("on b1 b2"))))))))))))))) --working-dir results/experiment-1-2021-12-13T16:06:04.643119/lf2f-fd-ff/p09 --algorithm astar --heuristic ff
p10	success	  0.100800	  0.180243	  9.139088	85	/home/marcofavorito/workfolder/planning-with-past-code/bin/ltlfond2fond_wrapper -t fd -d results/experiment-1-2021-12-13T16:06:04.643119/domain.pddl -p results/experiment-1-2021-12-13T16:06:04.643119/p10.pddl -g F("on b9 b10"&X(F("on b8 b9"&X(F("on b7 b8"&X(F("on b6 b7"&X(F("on b5 b6"&X(F("on b4 b5"&X(F("on b3 b4"&X(F("on b2 b3"&X(F("on b1 b2"))))))))))))))))) --working-dir results/experiment-1-2021-12-13T16:06:04.643119/lf2f-fd-ff/p10 --algorithm astar --heuristic ff
p11	success	  0.181856	  0.344312	 12.203649	112	/home/marcofavorito/workfolder/planning-with-past-code/bin/ltlfond2fond_wrapper -t fd -d results/experiment-1-2021-12-13T16:06:04.643119/domain.pddl -p results/experiment-1-2021-12-13T16:06:04.643119/p11.pddl -g F("on b10 b11"&X(F("on b9 b10"&X(F("on b8 b9"&X(F("on b7 b8"&X(F("on b6 b7"&X(F("on b5 b6"&X(F("on b4 b5"&X(F("on b3 b4"&X(F("on b2 b3"&X(F("on b1 b2"))))))))))))))))))) --working-dir results/experiment-1-2021-12-13T16:06:04.643119/lf2f-fd-ff/p11 --algorithm astar --heuristic ff
