name	status	time_compilation	time_tool	time_end2end	nb_node_expanded	command
p02	success	  0.350542	  0.001239	  0.513113	3	/home/marcofavorito/workfolder/planning-with-past-code/bin/plan4past -t fd --domain results/experiment-1-2021-12-13T17:27:10.750540/domain.pddl --problem results/experiment-1-2021-12-13T17:27:10.750540/p02.pddl --formula O(on_b1_b2) --working-dir results/experiment-1-2021-12-13T17:27:10.750540/p4p-fd-ff/p02 --algorithm astar --heuristic ff
p03	success	  0.356117	  0.001395	  0.526726	6	/home/marcofavorito/workfolder/planning-with-past-code/bin/plan4past -t fd --domain results/experiment-1-2021-12-13T17:27:10.750540/domain.pddl --problem results/experiment-1-2021-12-13T17:27:10.750540/p03.pddl --formula O(on_b1_b2 & Y(O(on_b2_b3))) --working-dir results/experiment-1-2021-12-13T17:27:10.750540/p4p-fd-ff/p03 --algorithm astar --heuristic ff
p04	success	  0.358380	  0.001761	  0.535047	13	/home/marcofavorito/workfolder/planning-with-past-code/bin/plan4past -t fd --domain results/experiment-1-2021-12-13T17:27:10.750540/domain.pddl --problem results/experiment-1-2021-12-13T17:27:10.750540/p04.pddl --formula O(on_b1_b2 & Y(O(on_b2_b3 & Y(O(on_b3_b4))))) --working-dir results/experiment-1-2021-12-13T17:27:10.750540/p4p-fd-ff/p04 --algorithm astar --heuristic ff
p05	success	  0.358490	  0.003086	  0.555853	21	/home/marcofavorito/workfolder/planning-with-past-code/bin/plan4past -t fd --domain results/experiment-1-2021-12-13T17:27:10.750540/domain.pddl --problem results/experiment-1-2021-12-13T17:27:10.750540/p05.pddl --formula O(on_b1_b2 & Y(O(on_b2_b3 & Y(O(on_b3_b4 & Y(O(on_b4_b5))))))) --working-dir results/experiment-1-2021-12-13T17:27:10.750540/p4p-fd-ff/p05 --algorithm astar --heuristic ff
p06	success	  0.355297	  0.003049	  0.545834	31	/home/marcofavorito/workfolder/planning-with-past-code/bin/plan4past -t fd --domain results/experiment-1-2021-12-13T17:27:10.750540/domain.pddl --problem results/experiment-1-2021-12-13T17:27:10.750540/p06.pddl --formula O(on_b1_b2 & Y(O(on_b2_b3 & Y(O(on_b3_b4 & Y(O(on_b4_b5 & Y(O(on_b5_b6))))))))) --working-dir results/experiment-1-2021-12-13T17:27:10.750540/p4p-fd-ff/p06 --algorithm astar --heuristic ff
p07	success	  0.359195	  0.004348	  0.557596	43	/home/marcofavorito/workfolder/planning-with-past-code/bin/plan4past -t fd --domain results/experiment-1-2021-12-13T17:27:10.750540/domain.pddl --problem results/experiment-1-2021-12-13T17:27:10.750540/p07.pddl --formula O(on_b1_b2 & Y(O(on_b2_b3 & Y(O(on_b3_b4 & Y(O(on_b4_b5 & Y(O(on_b5_b6 & Y(O(on_b6_b7))))))))))) --working-dir results/experiment-1-2021-12-13T17:27:10.750540/p4p-fd-ff/p07 --algorithm astar --heuristic ff
p08	success	  0.381080	  0.006389	  0.603814	57	/home/marcofavorito/workfolder/planning-with-past-code/bin/plan4past -t fd --domain results/experiment-1-2021-12-13T17:27:10.750540/domain.pddl --problem results/experiment-1-2021-12-13T17:27:10.750540/p08.pddl --formula O(on_b1_b2 & Y(O(on_b2_b3 & Y(O(on_b3_b4 & Y(O(on_b4_b5 & Y(O(on_b5_b6 & Y(O(on_b6_b7 & Y(O(on_b7_b8))))))))))))) --working-dir results/experiment-1-2021-12-13T17:27:10.750540/p4p-fd-ff/p08 --algorithm astar --heuristic ff
p09	success	  0.368840	  0.009612	  0.694707	73	/home/marcofavorito/workfolder/planning-with-past-code/bin/plan4past -t fd --domain results/experiment-1-2021-12-13T17:27:10.750540/domain.pddl --problem results/experiment-1-2021-12-13T17:27:10.750540/p09.pddl --formula O(on_b1_b2 & Y(O(on_b2_b3 & Y(O(on_b3_b4 & Y(O(on_b4_b5 & Y(O(on_b5_b6 & Y(O(on_b6_b7 & Y(O(on_b7_b8 & Y(O(on_b8_b9))))))))))))))) --working-dir results/experiment-1-2021-12-13T17:27:10.750540/p4p-fd-ff/p09 --algorithm astar --heuristic ff
p10	success	  0.372567	  0.014394	  0.638177	90	/home/marcofavorito/workfolder/planning-with-past-code/bin/plan4past -t fd --domain results/experiment-1-2021-12-13T17:27:10.750540/domain.pddl --problem results/experiment-1-2021-12-13T17:27:10.750540/p10.pddl --formula O(on_b1_b2 & Y(O(on_b2_b3 & Y(O(on_b3_b4 & Y(O(on_b4_b5 & Y(O(on_b5_b6 & Y(O(on_b6_b7 & Y(O(on_b7_b8 & Y(O(on_b8_b9 & Y(O(on_b9_b10))))))))))))))))) --working-dir results/experiment-1-2021-12-13T17:27:10.750540/p4p-fd-ff/p10 --algorithm astar --heuristic ff
p11	success	  0.384625	  0.017936	  0.670837	95	/home/marcofavorito/workfolder/planning-with-past-code/bin/plan4past -t fd --domain results/experiment-1-2021-12-13T17:27:10.750540/domain.pddl --problem results/experiment-1-2021-12-13T17:27:10.750540/p11.pddl --formula O(on_b1_b2 & Y(O(on_b2_b3 & Y(O(on_b3_b4 & Y(O(on_b4_b5 & Y(O(on_b5_b6 & Y(O(on_b6_b7 & Y(O(on_b7_b8 & Y(O(on_b8_b9 & Y(O(on_b9_b10 & Y(O(on_b10_b11))))))))))))))))))) --working-dir results/experiment-1-2021-12-13T17:27:10.750540/p4p-fd-ff/p11 --algorithm astar --heuristic ff
p12	success	  0.361398	  0.023369	  0.666409	101	/home/marcofavorito/workfolder/planning-with-past-code/bin/plan4past -t fd --domain results/experiment-1-2021-12-13T17:27:10.750540/domain.pddl --problem results/experiment-1-2021-12-13T17:27:10.750540/p12.pddl --formula O(on_b1_b2 & Y(O(on_b2_b3 & Y(O(on_b3_b4 & Y(O(on_b4_b5 & Y(O(on_b5_b6 & Y(O(on_b6_b7 & Y(O(on_b7_b8 & Y(O(on_b8_b9 & Y(O(on_b9_b10 & Y(O(on_b10_b11 & Y(O(on_b11_b12))))))))))))))))))))) --working-dir results/experiment-1-2021-12-13T17:27:10.750540/p4p-fd-ff/p12 --algorithm astar --heuristic ff
p13	success	  0.363090	  0.031343	  0.711193	109	/home/marcofavorito/workfolder/planning-with-past-code/bin/plan4past -t fd --domain results/experiment-1-2021-12-13T17:27:10.750540/domain.pddl --problem results/experiment-1-2021-12-13T17:27:10.750540/p13.pddl --formula O(on_b1_b2 & Y(O(on_b2_b3 & Y(O(on_b3_b4 & Y(O(on_b4_b5 & Y(O(on_b5_b6 & Y(O(on_b6_b7 & Y(O(on_b7_b8 & Y(O(on_b8_b9 & Y(O(on_b9_b10 & Y(O(on_b10_b11 & Y(O(on_b11_b12 & Y(O(on_b12_b13))))))))))))))))))))))) --working-dir results/experiment-1-2021-12-13T17:27:10.750540/p4p-fd-ff/p13 --algorithm astar --heuristic ff
