name	status	time_compilation	time_tool	time_end2end	nb_node_expanded	command
p-001	success	 -1.000000	  0.002008	  0.870281	7	/home/marcofavorito/workfolder/planning-with-past-code/bin/fd_wrapper -d data/deterministic/blocksworld/domain.pddl -p data/deterministic/blocksworld/p-001.pddl --algorithm astar --heuristic ff --working-dir results/experiment-type-2-2021-12-13T19:09:46.296610/fd-ff/p-001
p-002	success	 -1.000000	  0.002571	  0.968951	13	/home/marcofavorito/workfolder/planning-with-past-code/bin/fd_wrapper -d data/deterministic/blocksworld/domain.pddl -p data/deterministic/blocksworld/p-002.pddl --algorithm astar --heuristic ff --working-dir results/experiment-type-2-2021-12-13T19:09:46.296610/fd-ff/p-002
p-003	success	 -1.000000	  0.002815	  0.921207	10	/home/marcofavorito/workfolder/planning-with-past-code/bin/fd_wrapper -d data/deterministic/blocksworld/domain.pddl -p data/deterministic/blocksworld/p-003.pddl --algorithm astar --heuristic ff --working-dir results/experiment-type-2-2021-12-13T19:09:46.296610/fd-ff/p-003
p-004	success	 -1.000000	  0.002483	  0.868296	26	/home/marcofavorito/workfolder/planning-with-past-code/bin/fd_wrapper -d data/deterministic/blocksworld/domain.pddl -p data/deterministic/blocksworld/p-004.pddl --algorithm astar --heuristic ff --working-dir results/experiment-type-2-2021-12-13T19:09:46.296610/fd-ff/p-004
p-005	success	 -1.000000	  0.002365	  0.868675	26	/home/marcofavorito/workfolder/planning-with-past-code/bin/fd_wrapper -d data/deterministic/blocksworld/domain.pddl -p data/deterministic/blocksworld/p-005.pddl --algorithm astar --heuristic ff --working-dir results/experiment-type-2-2021-12-13T19:09:46.296610/fd-ff/p-005
p-006	success	 -1.000000	  0.002702	  0.869257	50	/home/marcofavorito/workfolder/planning-with-past-code/bin/fd_wrapper -d data/deterministic/blocksworld/domain.pddl -p data/deterministic/blocksworld/p-006.pddl --algorithm astar --heuristic ff --working-dir results/experiment-type-2-2021-12-13T19:09:46.296610/fd-ff/p-006
p-007	success	 -1.000000	  0.002883	  0.919467	18	/home/marcofavorito/workfolder/planning-with-past-code/bin/fd_wrapper -d data/deterministic/blocksworld/domain.pddl -p data/deterministic/blocksworld/p-007.pddl --algorithm astar --heuristic ff --working-dir results/experiment-type-2-2021-12-13T19:09:46.296610/fd-ff/p-007
p-008	success	 -1.000000	  0.002333	  0.918691	13	/home/marcofavorito/workfolder/planning-with-past-code/bin/fd_wrapper -d data/deterministic/blocksworld/domain.pddl -p data/deterministic/blocksworld/p-008.pddl --algorithm astar --heuristic ff --working-dir results/experiment-type-2-2021-12-13T19:09:46.296610/fd-ff/p-008
p-009	success	 -1.000000	  0.007817	  0.919802	438	/home/marcofavorito/workfolder/planning-with-past-code/bin/fd_wrapper -d data/deterministic/blocksworld/domain.pddl -p data/deterministic/blocksworld/p-009.pddl --algorithm astar --heuristic ff --working-dir results/experiment-type-2-2021-12-13T19:09:46.296610/fd-ff/p-009
p-010	success	 -1.000000	  0.004621	  0.968512	130	/home/marcofavorito/workfolder/planning-with-past-code/bin/fd_wrapper -d data/deterministic/blocksworld/domain.pddl -p data/deterministic/blocksworld/p-010.pddl --algorithm astar --heuristic ff --working-dir results/experiment-type-2-2021-12-13T19:09:46.296610/fd-ff/p-010
