name	status	time_compilation	time_tool	time_end2end	nb_node_expanded	command
p-001	success	  0.582327	  0.001961	  1.380823	7	/home/marcofavorito/workfolder/planning-with-past-code/bin/plan4past -t fd --domain data/deterministic/blocksworld/domain.pddl --problem data/deterministic/blocksworld/p-001.pddl --formula on_d_c & on_c_b & on_b_a --working-dir results/experiment-type-2-2021-12-13T19:09:46.296610/p4p-fd-ff/p-001 --algorithm astar --heuristic ff
p-002	success	  0.557572	  0.002166	  1.357620	12	/home/marcofavorito/workfolder/planning-with-past-code/bin/plan4past -t fd --domain data/deterministic/blocksworld/domain.pddl --problem data/deterministic/blocksworld/p-002.pddl --formula on_d_c & on_c_a & on_a_b --working-dir results/experiment-type-2-2021-12-13T19:09:46.296610/p4p-fd-ff/p-002 --algorithm astar --heuristic ff
p-003	success	  0.556369	  0.002981	  1.495274	10	/home/marcofavorito/workfolder/planning-with-past-code/bin/plan4past -t fd --domain data/deterministic/blocksworld/domain.pddl --problem data/deterministic/blocksworld/p-003.pddl --formula on_a_b & on_b_c & on_c_d --working-dir results/experiment-type-2-2021-12-13T19:09:46.296610/p4p-fd-ff/p-003 --algorithm astar --heuristic ff
p-004	success	  0.560071	  0.002378	  1.456566	25	/home/marcofavorito/workfolder/planning-with-past-code/bin/plan4past -t fd --domain data/deterministic/blocksworld/domain.pddl --problem data/deterministic/blocksworld/p-004.pddl --formula on_a_e & on_e_b & on_b_d & on_d_c --working-dir results/experiment-type-2-2021-12-13T19:09:46.296610/p4p-fd-ff/p-004 --algorithm astar --heuristic ff
p-005	success	  0.609371	  0.002239	  1.408797	22	/home/marcofavorito/workfolder/planning-with-past-code/bin/plan4past -t fd --domain data/deterministic/blocksworld/domain.pddl --problem data/deterministic/blocksworld/p-005.pddl --formula on_d_c & on_c_b & on_b_a & on_a_e --working-dir results/experiment-type-2-2021-12-13T19:09:46.296610/p4p-fd-ff/p-005 --algorithm astar --heuristic ff
p-006	success	  0.556126	  0.002705	  1.353579	51	/home/marcofavorito/workfolder/planning-with-past-code/bin/plan4past -t fd --domain data/deterministic/blocksworld/domain.pddl --problem data/deterministic/blocksworld/p-006.pddl --formula on_d_c & on_c_b & on_b_e & on_e_a --working-dir results/experiment-type-2-2021-12-13T19:09:46.296610/p4p-fd-ff/p-006 --algorithm astar --heuristic ff
p-007	success	  0.566790	  0.002469	  1.353619	18	/home/marcofavorito/workfolder/planning-with-past-code/bin/plan4past -t fd --domain data/deterministic/blocksworld/domain.pddl --problem data/deterministic/blocksworld/p-007.pddl --formula on_c_b & on_b_a & on_a_e & on_e_f & on_f_d --working-dir results/experiment-type-2-2021-12-13T19:09:46.296610/p4p-fd-ff/p-007 --algorithm astar --heuristic ff
p-008	success	  0.569499	  0.002359	  1.368925	13	/home/marcofavorito/workfolder/planning-with-past-code/bin/plan4past -t fd --domain data/deterministic/blocksworld/domain.pddl --problem data/deterministic/blocksworld/p-008.pddl --formula on_e_f & on_f_c & on_c_b & on_b_a & on_a_d --working-dir results/experiment-type-2-2021-12-13T19:09:46.296610/p4p-fd-ff/p-008 --algorithm astar --heuristic ff
p-009	success	  0.570288	  0.006900	  1.374811	407	/home/marcofavorito/workfolder/planning-with-past-code/bin/plan4past -t fd --domain data/deterministic/blocksworld/domain.pddl --problem data/deterministic/blocksworld/p-009.pddl --formula on_e_f & on_f_a & on_a_b & on_b_c & on_c_d --working-dir results/experiment-type-2-2021-12-13T19:09:46.296610/p4p-fd-ff/p-009 --algorithm astar --heuristic ff
p-010	success	  0.566897	  0.004205	  1.376495	105	/home/marcofavorito/workfolder/planning-with-past-code/bin/plan4past -t fd --domain data/deterministic/blocksworld/domain.pddl --problem data/deterministic/blocksworld/p-010.pddl --formula on_a_g & on_g_d & on_d_b & on_b_c & on_c_f & on_f_e --working-dir results/experiment-type-2-2021-12-13T19:09:46.296610/p4p-fd-ff/p-010 --algorithm astar --heuristic ff
