name	status	time_compilation	time_tool	time_end2end	nb_node_expanded	command
p01	success	 -1.000000	 -1.000000	  0.516810	12	/home/marcofavorito/workfolder/planning-with-past-code/bin/mynd_wrapper -d data/blocksworld-ipc08/domain.pddl -p data/blocksworld-ipc08/p01.pddl --algorithm laostar --heuristic ff --working-dir results/experiment-type-2-2021-12-13T01:06:37.586069/mynd-sc-ff/p01
p02	success	 -1.000000	 -1.000000	  0.516969	8	/home/marcofavorito/workfolder/planning-with-past-code/bin/mynd_wrapper -d data/blocksworld-ipc08/domain.pddl -p data/blocksworld-ipc08/p02.pddl --algorithm laostar --heuristic ff --working-dir results/experiment-type-2-2021-12-13T01:06:37.586069/mynd-sc-ff/p02
p03	success	 -1.000000	 -1.000000	  0.516921	10	/home/marcofavorito/workfolder/planning-with-past-code/bin/mynd_wrapper -d data/blocksworld-ipc08/domain.pddl -p data/blocksworld-ipc08/p03.pddl --algorithm laostar --heuristic ff --working-dir results/experiment-type-2-2021-12-13T01:06:37.586069/mynd-sc-ff/p03
p04	success	 -1.000000	 -1.000000	  0.817493	200	/home/marcofavorito/workfolder/planning-with-past-code/bin/mynd_wrapper -d data/blocksworld-ipc08/domain.pddl -p data/blocksworld-ipc08/p04.pddl --algorithm laostar --heuristic ff --working-dir results/experiment-type-2-2021-12-13T01:06:37.586069/mynd-sc-ff/p04
p05	success	 -1.000000	 -1.000000	  0.516812	16	/home/marcofavorito/workfolder/planning-with-past-code/bin/mynd_wrapper -d data/blocksworld-ipc08/domain.pddl -p data/blocksworld-ipc08/p05.pddl --algorithm laostar --heuristic ff --working-dir results/experiment-type-2-2021-12-13T01:06:37.586069/mynd-sc-ff/p05
p06	success	 -1.000000	 -1.000000	  0.568171	31	/home/marcofavorito/workfolder/planning-with-past-code/bin/mynd_wrapper -d data/blocksworld-ipc08/domain.pddl -p data/blocksworld-ipc08/p06.pddl --algorithm laostar --heuristic ff --working-dir results/experiment-type-2-2021-12-13T01:06:37.586069/mynd-sc-ff/p06
p07	success	 -1.000000	 -1.000000	  0.567012	60	/home/marcofavorito/workfolder/planning-with-past-code/bin/mynd_wrapper -d data/blocksworld-ipc08/domain.pddl -p data/blocksworld-ipc08/p07.pddl --algorithm laostar --heuristic ff --working-dir results/experiment-type-2-2021-12-13T01:06:37.586069/mynd-sc-ff/p07
p08	success	 -1.000000	 -1.000000	  0.567093	57	/home/marcofavorito/workfolder/planning-with-past-code/bin/mynd_wrapper -d data/blocksworld-ipc08/domain.pddl -p data/blocksworld-ipc08/p08.pddl --algorithm laostar --heuristic ff --working-dir results/experiment-type-2-2021-12-13T01:06:37.586069/mynd-sc-ff/p08
p09	success	 -1.000000	 -1.000000	  0.517119	8	/home/marcofavorito/workfolder/planning-with-past-code/bin/mynd_wrapper -d data/blocksworld-ipc08/domain.pddl -p data/blocksworld-ipc08/p09.pddl --algorithm laostar --heuristic ff --working-dir results/experiment-type-2-2021-12-13T01:06:37.586069/mynd-sc-ff/p09
p10	success	 -1.000000	 -1.000000	  0.517041	10	/home/marcofavorito/workfolder/planning-with-past-code/bin/mynd_wrapper -d data/blocksworld-ipc08/domain.pddl -p data/blocksworld-ipc08/p10.pddl --algorithm laostar --heuristic ff --working-dir results/experiment-type-2-2021-12-13T01:06:37.586069/mynd-sc-ff/p10
p11	success	 -1.000000	 -1.000000	  1.319237	75	/home/marcofavorito/workfolder/planning-with-past-code/bin/mynd_wrapper -d data/blocksworld-ipc08/domain.pddl -p data/blocksworld-ipc08/p11.pddl --algorithm laostar --heuristic ff --working-dir results/experiment-type-2-2021-12-13T01:06:37.586069/mynd-sc-ff/p11
p12	timeout	 -1.000000	 -1.000000	600.003602	None	/home/marcofavorito/workfolder/planning-with-past-code/bin/mynd_wrapper -d data/blocksworld-ipc08/domain.pddl -p data/blocksworld-ipc08/p12.pddl --algorithm laostar --heuristic ff --working-dir results/experiment-type-2-2021-12-13T01:06:37.586069/mynd-sc-ff/p12
p13	success	 -1.000000	 -1.000000	  2.377284	216	/home/marcofavorito/workfolder/planning-with-past-code/bin/mynd_wrapper -d data/blocksworld-ipc08/domain.pddl -p data/blocksworld-ipc08/p13.pddl --algorithm laostar --heuristic ff --working-dir results/experiment-type-2-2021-12-13T01:06:37.586069/mynd-sc-ff/p13
p14	success	 -1.000000	 -1.000000	  1.168698	29	/home/marcofavorito/workfolder/planning-with-past-code/bin/mynd_wrapper -d data/blocksworld-ipc08/domain.pddl -p data/blocksworld-ipc08/p14.pddl --algorithm laostar --heuristic ff --working-dir results/experiment-type-2-2021-12-13T01:06:37.586069/mynd-sc-ff/p14
p15	success	 -1.000000	 -1.000000	 15.158169	1068	/home/marcofavorito/workfolder/planning-with-past-code/bin/mynd_wrapper -d data/blocksworld-ipc08/domain.pddl -p data/blocksworld-ipc08/p15.pddl --algorithm laostar --heuristic ff --working-dir results/experiment-type-2-2021-12-13T01:06:37.586069/mynd-sc-ff/p15
p16	timeout	 -1.000000	 -1.000000	600.003702	None	/home/marcofavorito/workfolder/planning-with-past-code/bin/mynd_wrapper -d data/blocksworld-ipc08/domain.pddl -p data/blocksworld-ipc08/p16.pddl --algorithm laostar --heuristic ff --working-dir results/experiment-type-2-2021-12-13T01:06:37.586069/mynd-sc-ff/p16
p17	success	 -1.000000	 -1.000000	  7.838918	682	/home/marcofavorito/workfolder/planning-with-past-code/bin/mynd_wrapper -d data/blocksworld-ipc08/domain.pddl -p data/blocksworld-ipc08/p17.pddl --algorithm laostar --heuristic ff --working-dir results/experiment-type-2-2021-12-13T01:06:37.586069/mynd-sc-ff/p17
p18	timeout	 -1.000000	 -1.000000	600.004075	None	/home/marcofavorito/workfolder/planning-with-past-code/bin/mynd_wrapper -d data/blocksworld-ipc08/domain.pddl -p data/blocksworld-ipc08/p18.pddl --algorithm laostar --heuristic ff --working-dir results/experiment-type-2-2021-12-13T01:06:37.586069/mynd-sc-ff/p18
p19	timeout	 -1.000000	 -1.000000	600.003843	None	/home/marcofavorito/workfolder/planning-with-past-code/bin/mynd_wrapper -d data/blocksworld-ipc08/domain.pddl -p data/blocksworld-ipc08/p19.pddl --algorithm laostar --heuristic ff --working-dir results/experiment-type-2-2021-12-13T01:06:37.586069/mynd-sc-ff/p19
p20	timeout	 -1.000000	 -1.000000	600.003384	None	/home/marcofavorito/workfolder/planning-with-past-code/bin/mynd_wrapper -d data/blocksworld-ipc08/domain.pddl -p data/blocksworld-ipc08/p20.pddl --algorithm laostar --heuristic ff --working-dir results/experiment-type-2-2021-12-13T01:06:37.586069/mynd-sc-ff/p20
p21	timeout	 -1.000000	 -1.000000	600.003773	None	/home/marcofavorito/workfolder/planning-with-past-code/bin/mynd_wrapper -d data/blocksworld-ipc08/domain.pddl -p data/blocksworld-ipc08/p21.pddl --algorithm laostar --heuristic ff --working-dir results/experiment-type-2-2021-12-13T01:06:37.586069/mynd-sc-ff/p21
p22	timeout	 -1.000000	 -1.000000	600.003654	None	/home/marcofavorito/workfolder/planning-with-past-code/bin/mynd_wrapper -d data/blocksworld-ipc08/domain.pddl -p data/blocksworld-ipc08/p22.pddl --algorithm laostar --heuristic ff --working-dir results/experiment-type-2-2021-12-13T01:06:37.586069/mynd-sc-ff/p22
p23	timeout	 -1.000000	 -1.000000	600.003602	None	/home/marcofavorito/workfolder/planning-with-past-code/bin/mynd_wrapper -d data/blocksworld-ipc08/domain.pddl -p data/blocksworld-ipc08/p23.pddl --algorithm laostar --heuristic ff --working-dir results/experiment-type-2-2021-12-13T01:06:37.586069/mynd-sc-ff/p23
p24	success	 -1.000000	 -1.000000	281.179398	3626	/home/marcofavorito/workfolder/planning-with-past-code/bin/mynd_wrapper -d data/blocksworld-ipc08/domain.pddl -p data/blocksworld-ipc08/p24.pddl --algorithm laostar --heuristic ff --working-dir results/experiment-type-2-2021-12-13T01:06:37.586069/mynd-sc-ff/p24
p25	timeout	 -1.000000	 -1.000000	600.005403	None	/home/marcofavorito/workfolder/planning-with-past-code/bin/mynd_wrapper -d data/blocksworld-ipc08/domain.pddl -p data/blocksworld-ipc08/p25.pddl --algorithm laostar --heuristic ff --working-dir results/experiment-type-2-2021-12-13T01:06:37.586069/mynd-sc-ff/p25
p26	success	 -1.000000	 -1.000000	113.770249	2330	/home/marcofavorito/workfolder/planning-with-past-code/bin/mynd_wrapper -d data/blocksworld-ipc08/domain.pddl -p data/blocksworld-ipc08/p26.pddl --algorithm laostar --heuristic ff --working-dir results/experiment-type-2-2021-12-13T01:06:37.586069/mynd-sc-ff/p26
p27	timeout	 -1.000000	 -1.000000	600.005201	None	/home/marcofavorito/workfolder/planning-with-past-code/bin/mynd_wrapper -d data/blocksworld-ipc08/domain.pddl -p data/blocksworld-ipc08/p27.pddl --algorithm laostar --heuristic ff --working-dir results/experiment-type-2-2021-12-13T01:06:37.586069/mynd-sc-ff/p27
p28	success	 -1.000000	 -1.000000	 26.481918	1036	/home/marcofavorito/workfolder/planning-with-past-code/bin/mynd_wrapper -d data/blocksworld-ipc08/domain.pddl -p data/blocksworld-ipc08/p28.pddl --algorithm laostar --heuristic ff --working-dir results/experiment-type-2-2021-12-13T01:06:37.586069/mynd-sc-ff/p28
p29	success	 -1.000000	 -1.000000	 75.320973	1872	/home/marcofavorito/workfolder/planning-with-past-code/bin/mynd_wrapper -d data/blocksworld-ipc08/domain.pddl -p data/blocksworld-ipc08/p29.pddl --algorithm laostar --heuristic ff --working-dir results/experiment-type-2-2021-12-13T01:06:37.586069/mynd-sc-ff/p29
p30	success	 -1.000000	 -1.000000	 82.893977	1888	/home/marcofavorito/workfolder/planning-with-past-code/bin/mynd_wrapper -d data/blocksworld-ipc08/domain.pddl -p data/blocksworld-ipc08/p30.pddl --algorithm laostar --heuristic ff --working-dir results/experiment-type-2-2021-12-13T01:06:37.586069/mynd-sc-ff/p30
