name	status	time_compilation	time_tool	time_end2end	nb_node_expanded	command
p01	success	  0.344777	  0.366942	  0.711719	21	/home/marcofavorito/workfolder/planning-with-past-code/bin/plan4past --domain data/blocksworld-ipc08/domain.pddl --problem data/blocksworld-ipc08/p01.pddl --formula emptyhand & on_b1_b2 & on_b2_b5 & on-table_b3 & on-table_b4 & on-table_b5 & clear_b1 & clear_b3 & clear_b4 --working-dir results/experiment-type-2-2021-12-13T01:06:37.586069/p4p-mynd-sc-ff/p01 --algorithm laostar --heuristic ff
p02	success	  0.345163	  0.382402	  0.727565	63	/home/marcofavorito/workfolder/planning-with-past-code/bin/plan4past --domain data/blocksworld-ipc08/domain.pddl --problem data/blocksworld-ipc08/p02.pddl --formula emptyhand & on-table_b1 & on-table_b2 & on-table_b3 & on_b4_b1 & on_b5_b2 & clear_b3 & clear_b4 & clear_b5 --working-dir results/experiment-type-2-2021-12-13T01:06:37.586069/p4p-mynd-sc-ff/p02 --algorithm laostar --heuristic ff
p03	success	  0.349908	  0.390288	  0.740196	71	/home/marcofavorito/workfolder/planning-with-past-code/bin/plan4past --domain data/blocksworld-ipc08/domain.pddl --problem data/blocksworld-ipc08/p03.pddl --formula emptyhand & on-table_b1 & on-table_b2 & on_b3_b1 & on-table_b4 & on_b5_b3 & clear_b2 & clear_b4 & clear_b5 --working-dir results/experiment-type-2-2021-12-13T01:06:37.586069/p4p-mynd-sc-ff/p03 --algorithm laostar --heuristic ff
p04	success	  0.345107	  1.189707	  1.534814	684	/home/marcofavorito/workfolder/planning-with-past-code/bin/plan4past --domain data/blocksworld-ipc08/domain.pddl --problem data/blocksworld-ipc08/p04.pddl --formula emptyhand & on_b1_b5 & on_b2_b3 & on_b3_b1 & on_b4_b2 & on-table_b5 & clear_b4 --working-dir results/experiment-type-2-2021-12-13T01:06:37.586069/p4p-mynd-sc-ff/p04 --algorithm laostar --heuristic ff
p05	success	  0.344494	  0.443313	  0.787807	93	/home/marcofavorito/workfolder/planning-with-past-code/bin/plan4past --domain data/blocksworld-ipc08/domain.pddl --problem data/blocksworld-ipc08/p05.pddl --formula emptyhand & on_b1_b3 & on_b2_b4 & on-table_b3 & on_b4_b1 & on-table_b5 & clear_b2 & clear_b5 --working-dir results/experiment-type-2-2021-12-13T01:06:37.586069/p4p-mynd-sc-ff/p05 --algorithm laostar --heuristic ff
p06	success	  0.344350	  0.424412	  0.768762	50	/home/marcofavorito/workfolder/planning-with-past-code/bin/plan4past --domain data/blocksworld-ipc08/domain.pddl --problem data/blocksworld-ipc08/p06.pddl --formula emptyhand & on-table_b1 & on_b2_b4 & on-table_b3 & on_b4_b3 & on_b5_b1 & clear_b2 & clear_b5 --working-dir results/experiment-type-2-2021-12-13T01:06:37.586069/p4p-mynd-sc-ff/p06 --algorithm laostar --heuristic ff
p07	success	  0.344865	  4.217553	  4.562418	1458	/home/marcofavorito/workfolder/planning-with-past-code/bin/plan4past --domain data/blocksworld-ipc08/domain.pddl --problem data/blocksworld-ipc08/p07.pddl --formula emptyhand & on-table_b1 & on_b2_b5 & on_b3_b4 & on-table_b4 & on_b5_b3 & clear_b1 & clear_b2 --working-dir results/experiment-type-2-2021-12-13T01:06:37.586069/p4p-mynd-sc-ff/p07 --algorithm laostar --heuristic ff
p08	success	  0.355844	  6.340287	  6.696131	1834	/home/marcofavorito/workfolder/planning-with-past-code/bin/plan4past --domain data/blocksworld-ipc08/domain.pddl --problem data/blocksworld-ipc08/p08.pddl --formula emptyhand & on-table_b1 & on-table_b2 & on_b3_b2 & on_b4_b3 & on_b5_b4 & clear_b1 & clear_b5 --working-dir results/experiment-type-2-2021-12-13T01:06:37.586069/p4p-mynd-sc-ff/p08 --algorithm laostar --heuristic ff
p09	success	  0.358526	  0.361224	  0.719750	16	/home/marcofavorito/workfolder/planning-with-past-code/bin/plan4past --domain data/blocksworld-ipc08/domain.pddl --problem data/blocksworld-ipc08/p09.pddl --formula emptyhand & on_b1_b4 & on-table_b2 & on_b3_b2 & on-table_b4 & on-table_b5 & clear_b1 & clear_b3 & clear_b5 --working-dir results/experiment-type-2-2021-12-13T01:06:37.586069/p4p-mynd-sc-ff/p09 --algorithm laostar --heuristic ff
p10	success	  0.359047	  0.413395	  0.772442	73	/home/marcofavorito/workfolder/planning-with-past-code/bin/plan4past --domain data/blocksworld-ipc08/domain.pddl --problem data/blocksworld-ipc08/p10.pddl --formula emptyhand & on_b1_b2 & on-table_b2 & on_b3_b5 & on-table_b4 & on-table_b5 & clear_b1 & clear_b3 & clear_b4 --working-dir results/experiment-type-2-2021-12-13T01:06:37.586069/p4p-mynd-sc-ff/p10 --algorithm laostar --heuristic ff
p11	success	  0.351966	  2.595304	  2.947270	511	/home/marcofavorito/workfolder/planning-with-past-code/bin/plan4past --domain data/blocksworld-ipc08/domain.pddl --problem data/blocksworld-ipc08/p11.pddl --formula emptyhand & on_b1_b9 & on-table_b2 & on_b3_b1 & on_b4_b7 & on_b5_b4 & on_b6_b8 & on_b7_b10 & on_b8_b5 & on_b9_b6 & on-table_b10 & clear_b2 & clear_b3 --working-dir results/experiment-type-2-2021-12-13T01:06:37.586069/p4p-mynd-sc-ff/p11 --algorithm laostar --heuristic ff
p12	timeout	 -1.000000	 -1.000000	600.003394	None	/home/marcofavorito/workfolder/planning-with-past-code/bin/plan4past --domain data/blocksworld-ipc08/domain.pddl --problem data/blocksworld-ipc08/p12.pddl --formula emptyhand & on_b1_b3 & on_b2_b9 & on-table_b3 & on_b4_b10 & on_b5_b7 & on_b6_b4 & on-table_b7 & on_b8_b2 & on_b9_b1 & on_b10_b8 & clear_b5 & clear_b6 --working-dir results/experiment-type-2-2021-12-13T01:06:37.586069/p4p-mynd-sc-ff/p12 --algorithm laostar --heuristic ff
p13	timeout	 -1.000000	 -1.000000	600.003257	None	/home/marcofavorito/workfolder/planning-with-past-code/bin/plan4past --domain data/blocksworld-ipc08/domain.pddl --problem data/blocksworld-ipc08/p13.pddl --formula emptyhand & on_b1_b7 & on_b2_b8 & on_b3_b10 & on-table_b4 & on_b5_b4 & on_b6_b3 & on_b7_b6 & on-table_b8 & on-table_b9 & on_b10_b5 & clear_b1 & clear_b2 & clear_b9 --working-dir results/experiment-type-2-2021-12-13T01:06:37.586069/p4p-mynd-sc-ff/p13 --algorithm laostar --heuristic ff
p14	success	  0.344566	515.369112	515.713678	6656	/home/marcofavorito/workfolder/planning-with-past-code/bin/plan4past --domain data/blocksworld-ipc08/domain.pddl --problem data/blocksworld-ipc08/p14.pddl --formula emptyhand & on-table_b1 & on-table_b2 & on_b3_b8 & on_b4_b1 & on_b5_b10 & on-table_b6 & on_b7_b6 & on-table_b8 & on_b9_b2 & on_b10_b4 & clear_b3 & clear_b5 & clear_b7 & clear_b9 --working-dir results/experiment-type-2-2021-12-13T01:06:37.586069/p4p-mynd-sc-ff/p14 --algorithm laostar --heuristic ff
p15	success	  0.345797	266.774569	267.120366	5034	/home/marcofavorito/workfolder/planning-with-past-code/bin/plan4past --domain data/blocksworld-ipc08/domain.pddl --problem data/blocksworld-ipc08/p15.pddl --formula emptyhand & on_b1_b9 & on_b2_b5 & on_b3_b2 & on_b4_b3 & on_b5_b6 & on-table_b6 & on_b7_b4 & on_b8_b7 & on-table_b9 & on_b10_b1 & clear_b8 & clear_b10 --working-dir results/experiment-type-2-2021-12-13T01:06:37.586069/p4p-mynd-sc-ff/p15 --algorithm laostar --heuristic ff
